,,,,,통장 거래 내역,,,
,,,,,,,,
,,,,,2026.02.02~2026.02.27,,,
02-19,롯데카드(주),FB카드,0,"521,704","330,750,607",FI영1,카드통합(롯데카드),
02-19,롯데카드(주),FB카드,0,"569,554","330,181,053",FI영1,카드통합(롯데카드),
02-19,롯데카드(주),FB카드,0,"10,800","330,170,253",FI영1,카드통합(롯데카드),
02-19,BMW,CMS지,0,"3,218,704","326,951,549",자금부,비엠더블유파이낸셜서비스코리아(주),
02-20,특허공제08회,FB자동,0,"300,000","326,651,549",서면금,지식재산공제,
02-20,현대캐피탈(주),FB자동,0,"890,230","325,761,319",FI영2,현대캐피탈,
02-25,(주)플랙스뉴럴,BZ뱅크,0,"100,000,500","225,760,819",태릉역,계좌간이체,
02-25,신한카드법인,카드결,0,"1,026,990","224,733,829",원신한,카드통합(신한카드),
02-25,수협카드대금1,FB카드,0,"1,482,152","223,251,677",FI영2,카드통합(비씨카드),
02-25,기장수수료,FB자동,0,"2,750,000","220,501,677",충정로,크리에이티브 파트너스,
02-25,아우디파이낸셜,CMS지,0,"1,298,179","219,203,498",자금부,폭스바겐파이낸셜서비스코리아주식회사,
02-26,tosspaymen,타행PC,"243,286,930",0,"462,490,428",(우리),토스페이먼츠 주식회사,
02-26,페이레터(주),타행IB,"46,867,646",0,"509,358,074",(국민),페이레터㈜,
02-26,이지프린터,CMS지,0,"53,900","509,304,174",자금부,이지프린터,
02-26,(주)플랙스뉴럴,BZ뱅크,0,"50,000,500","459,303,674",태릉역,계좌간이체,
02-27,현대카드,FB이체,0,"15,828,689","443,474,985",FI영2,카드통합(현대카드),
합   계(입금 15 건 / 출금 51 건),,,"1,315,490,300","1,082,394,823",,,,
